id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
11dM832bBziKUZvI3tCfW5,0.836,0.741,5,-4.593,0,0.106,0.385,0.0,0.0633,0.747,137.956,173923,4
7jrytGwEUEfp6Wr5qiWkZ5,0.491,0.653,11,-6.253,0,0.308,0.559,2.71E-6,0.157,0.515,146.906,165088,4
5sgvH6O3EXIKsLjWyIa7Gs,0.813,0.719,0,-4.757,0,0.059,0.251,4.82E-5,0.089,0.636,112.962,191363,4
1zvtSTLTx66rmGP6yNu1cJ,0.433,0.509,1,-5.198,1,0.0326,0.286,2.35E-5,0.351,0.493,146.004,206480,3
2gQ60QJ3Q2fBuQAtBMUSQh,0.708,0.634,1,-5.323,1,0.458,0.591,0.00192,0.13,0.28,185.934,156932,4
054rVEFJSFyS9tHbZp1Pwz,0.442,0.517,1,-4.889,1,0.0329,0.408,0.0,0.368,0.474,145.629,206543,3
3JizcqwxIkHLijphOhQHou,0.437,0.268,9,-13.58,0,0.0818,0.867,0.00837,0.544,0.676,80.936,40176,3
2I5RdmTdWtqxqguyv17W0E,0.62,0.714,4,-3.094,0,0.0472,0.284,1.81E-4,0.165,0.115,134.903,283677,3
1aSPVl0lMPuo1h1MFD9hwi,0.241,0.271,8,-16.271,0,0.0363,0.555,0.43,0.114,0.044,60.018,107373,4
6CTtAV6yc1eeE7dtPRCQxf,0.5,0.067,3,-17.953,0,0.226,0.863,0.0,0.132,0.334,106.227,25027,4
0dmBhUb8BZnd0F8rEhzpTI,0.453,0.738,1,-5.045,0,0.088,0.0269,2.01E-6,0.159,0.0864,148.195,274760,4
7Ec5VCqrysMwRe9tFH61jK,0.472,0.977,11,-2.409,0,0.419,0.406,1.59E-4,0.986,0.66,169.953,240533,4
4QDcjz0V5zwkkQm2TUPE8A,0.786,0.179,7,-15.714,1,0.702,0.872,0.0,0.59,0.762,101.917,36880,3
29zBeRiLVnkDEj7tvmLVOU,0.39,0.631,9,-4.701,0,0.0769,0.209,0.0,0.277,0.197,123.042,248544,3
10EdIGnkizaN7v1uYljTd7,0.855,0.522,7,-6.663,1,0.161,0.118,0.0,0.548,0.473,140.003,228040,4
7hYUoA7Z4mtlDwXyq3s1Gz,0.829,0.575,1,-4.802,1,0.326,0.27,0.0,0.0896,0.268,105.932,289347,4
33fMPjjVBkz6X1xgHTIcwi,0.45,0.389,7,-5.174,1,0.031,0.331,0.0,0.157,0.12,98.949,263680,3
76ZI8PbCa0QIactv5Hkkhg,0.588,0.313,6,-5.496,0,0.043,0.919,0.0,0.0845,0.318,74.947,242357,4
5SkmujpDr4CG8Yau63GGNh,0.33,0.293,11,-9.812,0,0.428,0.775,0.0,0.246,0.355,198.627,54573,5
0iSDDumvHTzv6we9Yr1HzY,0.799,0.629,0,-5.638,0,0.14,0.371,2.01E-6,0.15,0.293,128.041,243062,4
3cFWrR4fqK8mmmoJSxLkts,0.735,0.576,4,-6.136,0,0.4,0.63,2.39E-5,0.077,0.532,180.036,245293,4
26lqwcYiFPNmEKTBtR04NF,0.671,0.335,7,-7.707,1,0.0818,0.415,0.016,0.156,0.23,90.916,210227,4
7fklxl8AxKiGz5fFZEglIm,0.588,0.497,2,-5.312,1,0.0397,0.578,0.0,0.108,0.238,99.071,257053,4
2wMvFw2W0ZIkOvtJcN0eCU,0.392,0.467,11,-9.495,0,0.044,0.1,0.00642,0.133,0.203,134.595,197520,4
7v5lw7SXqUaNuDBDSI6F8O,0.705,0.784,6,-4.566,0,0.0753,0.0302,1.85E-5,0.0827,0.155,124.947,206680,4
4bhYGwjet01O0bjHhR1GDm,0.7,0.8,1,-3.93,1,0.0416,0.00218,0.0,0.0622,0.386,114.99,186027,4
09QPoeQXaoTlBPz75tLIcT,0.553,0.873,7,-3.21,1,0.207,0.00756,0.00168,0.0749,0.662,105.947,179947,4
2pmtavvgqZN52EePYxutgk,0.593,0.781,8,-5.291,0,0.0545,7.24E-4,0.0,0.225,0.565,103.025,239853,4
5u5wvBQcUTzRzN7dwkrFUB,0.543,0.899,7,-1.589,0,0.16,0.0219,4.88E-5,0.259,0.441,127.991,201547,4
4NRMRgX2iPWMxKZ5J3CxVl,0.545,0.674,10,-5.292,1,0.303,0.407,2.16E-5,0.207,0.481,143.614,240653,4
